HHID,PERSID,DATUM,WOTAG,BERTAG,WNRT,ABZEIT,ZWECK,VMDIW,ANZEIT,KM,DAUER,SPEED,REGIONNR,REGION
9111052416,91110524161,05.12.2019,4,2,1,1450,6,41,1520,3.5,30,7,1,urban
9111052416,91110524161,05.12.2019,4,2,2,1645,6,41,1650,1,5,12,1,urban
9111052416,91110524161,05.12.2019,4,2,3,1700,7,41,1710,2.5,10,15,1,urban
9111052416,91110524161,06.12.2019,5,3,4,1515,11,41,1550,9.3,35,16,1,urban
9111052416,91110524161,06.12.2019,5,3,5,1600,7,41,1630,9.3,30,19,1,urban
9111052416,91110524162,04.12.2019,3,1,1,715,6,41,735,3.5,20,11,1,urban
9111052416,91110524162,04.12.2019,3,1,2,740,7,41,800,3.5,20,11,1,urban
9111052416,91110524162,07.12.2019,6,4,1,1355,4,41,1410,2.5,15,10,1,urban
9111052416,91110524162,07.12.2019,6,4,2,1445,7,41,1510,2.5,25,6,1,urban
9111052416,91110524162,10.12.2019,2,7,1,1300,11,41,1340,7.5,40,11,1,urban
9111052416,91110524162,10.12.2019,2,7,2,1750,7,41,1825,7.5,35,13,1,urban
9111052342,91110523421,06.12.2019,5,1,1,525,11,41,545,10,20,30,5,semiurb
9111052342,91110523421,06.12.2019,5,1,2,1020,7,41,1035,10,15,40,5,semiurb
9111052342,91110523421,06.12.2019,5,1,3,1715,11,41,1725,2,10,12,5,semiurb
9111052342,91110523421,06.12.2019,5,1,4,1830,7,41,1840,2,10,12,5,semiurb
9111052342,91110523421,07.12.2019,6,2,1,900,4,41,920,10,20,30,5,semiurb
9111052342,91110523421,07.12.2019,6,2,2,1010,7,41,1030,10,20,30,5,semiurb
9111052342,91110523421,07.12.2019,6,2,3,1520,5,41,1540,21,20,63,5,semiurb
9111052342,91110523421,07.12.2019,6,2,4,1715,7,41,1735,21,20,63,5,semiurb
9111052342,91110523421,08.12.2019,7,3,1,840,11,41,855,6.5,15,26,5,semiurb
9111052342,91110523421,08.12.2019,7,3,2,1030,7,41,1045,6.5,15,26,5,semiurb
9111052342,91110523421,08.12.2019,7,3,3,1310,11,41,1335,14,25,34,5,semiurb
9111052342,91110523421,08.12.2019,7,3,4,1455,7,41,1510,14,15,56,5,semiurb
